5216.42.257.365 I slot print_timing: id  0 | task 106840 | prompt processing, n_tokens =   3060, progress = 0.24, t =   4.60 s / 665.20 tokens per second
5216.44.092.918 I slot print_timing: id  0 | task 106840 | prompt processing, n_tokens =   4180, progress = 0.32, t =   6.44 s / 649.51 tokens per second
5216.46.687.013 I slot print_timing: id  0 | task 106840 | prompt processing, n_tokens =   5300, progress = 0.41, t =   9.03 s / 586.95 tokens per second
5216.49.402.687 I slot print_timing: id  0 | task 106840 | prompt processing, n_tokens =   6420, progress = 0.50, t =  11.75 s / 546.60 tokens per second
5216.52.209.630 I slot print_timing: id  0 | task 106840 | prompt processing, n_tokens =   7540, progress = 0.58, t =  14.55 s / 518.13 tokens per second
5216.55.130.475 I slot print_timing: id  0 | task 106840 | prompt processing, n_tokens =   8660, progress = 0.67, t =  17.47 s / 495.62 tokens per second
5216.58.179.386 I slot print_timing: id  0 | task 106840 | prompt processing, n_tokens =   9780, progress = 0.75, t =  20.52 s / 476.56 tokens per second
5217.01.331.667 I slot print_timing: id  0 | task 106840 | prompt processing, n_tokens =  10900, progress = 0.84, t =  23.67 s / 460.41 tokens per second
5217.04.596.052 I slot print_timing: id  0 | task 106840 | prompt processing, n_tokens =  11841, progress = 0.91, t =  26.94 s / 439.55 tokens per second
5217.07.491.024 I slot print_timing: id  0 | task 106840 | prompt processing, n_tokens =  12957, progress = 1.00, t =  29.83 s / 434.31 tokens per second
5217.16.812.470 I slot print_timing: id  0 | task 106840 | n_gen =    100, tg =  17.12 t/s, tg_3s =  17.30 t/s
5217.19.849.951 I slot print_timing: id  0 | task 106840 | n_gen =    152, tg =  17.12 t/s, tg_3s =  17.12 t/s
5217.22.895.005 I slot print_timing: id  0 | task 106840 | n_gen =    204, tg =  17.11 t/s, tg_3s =  17.08 t/s
5217.25.945.632 I slot print_timing: id  0 | task 106840 | n_gen =    256, tg =  17.10 t/s, tg_3s =  17.05 t/s
5217.28.946.955 I slot print_timing: id  0 | task 106840 | n_gen =    307, tg =  17.08 t/s, tg_3s =  16.99 t/s
5217.31.955.636 I slot print_timing: id  0 | task 106840 | n_gen =    358, tg =  17.06 t/s, tg_3s =  16.95 t/s
5217.34.965.057 I slot print_timing: id  0 | task 106840 | n_gen =    409, tg =  17.05 t/s, tg_3s =  16.95 t/s
5217.37.979.027 I slot print_timing: id  0 | task 106840 | n_gen =    460, tg =  17.03 t/s, tg_3s =  16.92 t/s
5217.40.995.277 I slot print_timing: id  0 | task 106840 | n_gen =    511, tg =  17.02 t/s, tg_3s =  16.91 t/s
5217.44.017.247 I slot print_timing: id  0 | task 106840 | n_gen =    562, tg =  17.01 t/s, tg_3s =  16.88 t/s
5217.47.050.827 I slot print_timing: id  0 | task 106840 | n_gen =    613, tg =  16.99 t/s, tg_3s =  16.81 t/s
5217.50.055.206 I slot print_timing: id  0 | task 106840 | n_gen =    663, tg =  16.96 t/s, tg_3s =  16.64 t/s
5217.53.084.309 I slot print_timing: id  0 | task 106840 | n_gen =    711, tg =  16.88 t/s, tg_3s =  15.85 t/s
5217.56.125.896 I slot print_timing: id  0 | task 106840 | n_gen =    759, tg =  16.81 t/s, tg_3s =  15.78 t/s
5217.59.157.483 I slot print_timing: id  0 | task 106840 | n_gen =    807, tg =  16.75 t/s, tg_3s =  15.83 t/s
5218.02.186.473 I slot print_timing: id  0 | task 106840 | n_gen =    855, tg =  16.69 t/s, tg_3s =  15.85 t/s
5218.05.206.194 I slot print_timing: id  0 | task 106840 | n_gen =    902, tg =  16.63 t/s, tg_3s =  15.56 t/s
5218.08.216.210 I slot print_timing: id  0 | task 106840 | n_gen =    949, tg =  16.58 t/s, tg_3s =  15.61 t/s
5218.11.237.204 I slot print_timing: id  0 | task 106840 | n_gen =    996, tg =  16.53 t/s, tg_3s =  15.56 t/s
5218.14.247.606 I slot print_timing: id  0 | task 106840 | n_gen =   1043, tg =  16.48 t/s, tg_3s =  15.61 t/s
5218.17.267.797 I slot print_timing: id  0 | task 106840 | n_gen =   1090, tg =  16.44 t/s, tg_3s =  15.56 t/s
5218.20.281.655 I slot print_timing: id  0 | task 106840 | n_gen =   1137, tg =  16.40 t/s, tg_3s =  15.59 t/s
5218.23.297.931 I slot print_timing: id  0 | task 106840 | n_gen =   1184, tg =  16.37 t/s, tg_3s =  15.58 t/s
5218.26.333.111 I slot print_timing: id  0 | task 106840 | n_gen =   1231, tg =  16.33 t/s, tg_3s =  15.49 t/s
5218.29.350.489 I slot print_timing: id  0 | task 106840 | n_gen =   1278, tg =  16.30 t/s, tg_3s =  15.58 t/s
5218.32.399.348 I slot print_timing: id  0 | task 106840 | n_gen =   1325, tg =  16.27 t/s, tg_3s =  15.42 t/s
5218.35.432.330 I slot print_timing: id  0 | task 106840 | n_gen =   1372, tg =  16.24 t/s, tg_3s =  15.50 t/s
5218.38.488.639 I slot print_timing: id  0 | task 106840 | n_gen =   1419, tg =  16.21 t/s, tg_3s =  15.38 t/s
5218.41.533.470 I slot print_timing: id  0 | task 106840 | n_gen =   1466, tg =  16.19 t/s, tg_3s =  15.44 t/s
